DIMENSION,COUNT,MEAN,STD,MIN,25%,50%,75%,MAX
Proportionality,10000,73,13.021025,35,64,73,83,100
Competitiveness,10000,42,8.188593,20,37,42,48,82
Minority,10000,52,4.088241,48,50,50,58,66
Compactness,10000,54,7.009921,30,50,55,60,80
Splitting,10000,40,8.510742,14,34,40,46,68
