DIMENSION,COUNT,MEAN,STD,MIN,25%,50%,75%,MAX
Proportionality,9919,51,6.581242,32,47,50,55,75
Competitiveness,9919,26,3.836012,17,23,26,28,39
Minority,9919,82,1.193532,78,82,82,83,86
Compactness,9919,51,4.015914,38,49,52,54,61
Splitting,9919,59,11.296586,20,56,62,68,81
