MAP,ID,PROPORTIONALITY,COMPETITIVENESS,MINORITY,COMPACTNESS,SPLITTING
Most Proportional,6705,100,34,74,56,80
Most Competitive,1213,90,47,72,58,39
Best Minority,2796,100,32,78,50,68
Most Compact,5703,85,32,73,64,56
Least Splitting,6705,100,34,74,56,80
