DIMENSION,COUNT,MEAN,STD,MIN,25%,50%,75%,MAX
Proportionality,9722,95,5.565944,76,93,99,100,100
Competitiveness,9722,28,4.748374,11,26,29,32,47
Minority,9722,73,1.766670,68,72,74,74,78
Compactness,9722,51,4.052537,36,48,51,54,64
Splitting,9722,51,11.552889,20,44,52,60,80
