MAP,ID,PROPORTIONALITY,COMPETITIVENESS,MINORITY,COMPACTNESS,SPLITTING
Most Proportional,X_5363_155_02,96,34,73,44,32
Most Competitive,X_6039_233_01,48,76,50,30,34
Best Minority,X_1419_131_02,70,38,97,28,37
Most Compact,X_7757_242_02,36,31,70,84,35
Least Splitting,X_2885_151_02,45,28,74,50,99
