MAP,ID,PROPORTIONALITY,COMPETITIVENESS,MINORITY,COMPACTNESS,SPLITTING
Most Proportional,8592,100,20,80,51,60
Most Competitive,0267,96,25,80,40,32
Best Minority,6033,100,21,82,52,52
Most Compact,9101,90,18,80,54,58
Least Splitting,8853,97,19,80,49,63
