DIMENSION,COUNT,MEAN,STD,MIN,25%,50%,75%,MAX
Proportionality,9961,99,0.335550,95,100,100,100,100
Competitiveness,9961,28,4.061575,18,25,28,31,40
Minority,9961,68,3.931518,59,66,68,72,79
Compactness,9961,51,5.536804,30,48,52,55,68
Splitting,9961,48,10.551939,20,40,46,56,93
