DIMENSION,COUNT,MEAN,STD,MIN,25%,50%,75%,MAX
Proportionality,9957,55,3.821417,44,53,55,58,67
Competitiveness,9957,22,1.693918,18,21,23,24,28
Minority,9957,85,1.262393,82,84,86,86,89
Compactness,9957,48,2.646655,40,48,49,51,56
Splitting,9957,40,5.989292,20,38,40,44,55
