DIMENSION,COUNT,MEAN,STD,MIN,25%,50%,75%,MAX
Proportionality,9868,79,4.546371,68,76,80,82,90
Competitiveness,9868,23,2.056593,19,22,23,25,29
Minority,9868,76,1.234357,73,76,76,77,80
Compactness,9868,54,3.157702,42,52,56,57,62
Splitting,9868,48,13.765228,20,38,48,62,72
