DIMENSION,COUNT,MEAN,STD,MIN,25%,50%,75%,MAX
Proportionality,6622,99,3.987291,55,100,100,100,100
Competitiveness,6622,19,7.969497,10,13,17,23,50
Minority,6622,87,3.200291,76,86,88,89,100
Compactness,6622,42,6.808421,22,38,43,48,65
Splitting,6622,40,8.121314,20,34,40,46,68
