DIMENSION,COUNT,MEAN,STD,MIN,25%,50%,75%,MAX
Proportionality,9946,99,0.520973,95,100,100,100,100
Competitiveness,9946,27,1.472126,23,27,28,29,33
Minority,9946,76,1.180623,73,76,76,77,79
Compactness,9946,50,3.154533,35,50,51,52,58
Splitting,9946,57,10.758533,20,50,55,68,74
