MAP,ID,PROPORTIONALITY,COMPETITIVENESS,MINORITY,COMPACTNESS,SPLITTING
Most Proportional,211-0000,100,35,51,57,73
Most Competitive,212-0000,100,94,44,26,28
Best Minority,213-0000,100,29,74,22,24
Most Compact,241-0232,97,42,50,68,20
Least Splitting,215-0000,86,37,51,46,88
