DIMENSION,COUNT,MEAN,STD,MIN,25%,50%,75%,MAX
Proportionality,9907,94,3.282325,84,92,94,96,100
Competitiveness,9907,20,1.580525,16,19,20,21,25
Minority,9907,80,0.795064,78,80,80,81,82
Compactness,9907,48,2.723626,38,47,48,50,54
Splitting,9907,50,5.904624,20,50,50,54,63
