DIMENSION,COUNT,MEAN,STD,MIN,25%,50%,75%,MAX
Proportionality,9039,96,2.977354,90,94,97,99,100
Competitiveness,9039,29,2.806087,21,28,29,31,37
Minority,9039,54,3.945070,44,52,54,58,65
Compactness,9039,48,3.365017,36,47,49,51,59
Splitting,9039,50,10.200926,20,43,52,60,68
