MAP,ID,PROPORTIONALITY,COMPETITIVENESS,MINORITY,COMPACTNESS,SPLITTING
Most Proportional,5295,100,23,82,52,72
Most Competitive,2452,100,27,82,46,65
Best Minority,5818,100,12,86,48,60
Most Compact,6994,100,16,82,59,72
Least Splitting,6540,100,17,83,44,82
