MAP,ID,PROPORTIONALITY,COMPETITIVENESS,MINORITY,COMPACTNESS,SPLITTING
Most Proportional,,100,7,85,47,36
Most Competitive,,91,100,85,47,36
Best Minority,,91,7,100,47,36
Most Compact,,91,7,85,100,36
Least Splitting,,91,7,85,47,100
